name,percentage_male,japanese_name,classfication,attack,defense,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,height_m,hp,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Metapod,50,Transelトランセル,Cocoon Pokémon,20,55,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,205,120,1000000,0.7,50,11,25,25,30,bug,,9.9,1,0
Butterfree,50,Butterfreeバタフリー,Butterfly Pokémon,45,50,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,395,45,1000000,1.1,60,12,90,80,70,bug,flying,32.0,1,0
Weedle,50,Beedleビードル,Hairy Pokémon,35,30,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,195,255,1000000,0.3,40,13,20,20,50,bug,poison,3.2,1,0
Kakuna,50,Cocoonコクーン,Cocoon Pokémon,25,50,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,205,120,1000000,0.6,45,14,25,25,35,bug,poison,10.0,1,0
Beedrill,50,Spearスピアー,Poison Bee Pokémon,150,40,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,495,45,1000000,1.0,65,15,15,80,145,bug,poison,29.5,1,0
Pidgey,50,Poppoポッポ,Tiny Bird Pokémon,45,40,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,251,255,1059860,0.3,40,16,35,35,56,normal,flying,1.8,1,0
Pidgeotto,50,Pigeonピジョン,Bird Pokémon,60,55,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,349,120,1059860,1.1,63,17,50,50,71,normal,flying,30.0,1,0
Pidgeot,50,Pigeotピジョット,Bird Pokémon,80,80,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,579,45,1059860,1.5,83,18,135,80,121,normal,flying,39.5,1,0
Rattata,50,Korattaコラッタ,Mouse Pokémon,56,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,1000000,,30,19,25,35,72,normal,dark,,1,0
Raticate,50,Rattaラッタ,Mouse Pokémon,71,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,1000000,,75,20,40,80,77,normal,dark,,1,0
Spearow,50,Onisuzumeオニスズメ,Tiny Bird Pokémon,60,30,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,1000000,0.3,40,21,31,31,70,normal,flying,2.0,1,0
Fearow,50,Onidrillオニドリル,Beak Pokémon,90,65,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,442,90,1000000,1.2,65,22,61,61,100,normal,flying,38.0,1,0
Ekans,50,Arboアーボ,Snake Pokémon,60,44,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,288,255,1000000,2.0,35,23,40,54,55,poison,,6.9,1,0
Arbok,50,Arbokアーボック,Cobra Pokémon,95,69,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,448,90,1000000,3.5,60,24,65,79,80,poison,,65.0,1,0
Pikachu,50,Pikachuピカチュウ,Mouse Pokémon,55,40,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,320,190,1000000,0.4,35,25,50,50,90,electric,,6.0,1,0
Raichu,50,Raichuライチュウ,Mouse Pokémon,85,50,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,485,75,1000000,,60,26,95,85,110,electric,electric,,1,0
Sandshrew,50,Sandサンド,Mouse Pokémon,75,90,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,1000000,,50,27,10,35,40,ground,ice,,1,0
Sandslash,50,Sandpanサンドパン,Mouse Pokémon,100,120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,1000000,,75,28,25,65,65,ground,ice,,1,0
Nidoran♀,0,Nidoran?ニドラン♀,Poison Pin Pokémon,47,52,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,275,235,1059860,0.4,55,29,40,40,41,poison,,7.0,1,0
Nidorina,0,Nidorinaニドリーナ,Poison Pin Pokémon,62,67,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,1059860,0.8,70,30,55,55,56,poison,,20.0,1,0
Nidoqueen,0,Nidoqueenニドクイン,Drill Pokémon,92,87,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,1059860,1.3,90,31,75,85,76,poison,ground,60.0,1,0
Nidoran♂,100,Nidoran?ニドラン♂,Poison Pin Pokémon,57,40,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,273,235,1059860,0.5,46,32,40,40,50,poison,,9.0,1,0
Nidorino,100,Nidorinoニドリーノ,Poison Pin Pokémon,72,57,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,1059860,0.9,61,33,55,55,65,poison,,19.5,1,0
Nidoking,100,Nidokingニドキング,Drill Pokémon,102,77,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,1059860,1.4,81,34,85,75,85,poison,ground,62.0,1,0
Clefairy,24.6,Pippiピッピ,Fairy Pokémon,45,48,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,323,150,800000,0.6,70,35,60,65,35,fairy,,7.5,1,0
Clefable,24.6,Pixyピクシー,Fairy Pokémon,70,73,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,483,25,800000,1.3,95,36,95,90,60,fairy,,40.0,1,0
Vulpix,24.6,Rokonロコン,Fox Pokémon,41,40,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,1000000,,38,37,50,65,65,fire,ice,,1,0
Ninetales,24.6,Kyukonキュウコン,Fox Pokémon,67,75,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,1000000,,73,38,81,100,109,fire,ice,,1,0
Jigglypuff,24.6,Purinプリン,Balloon Pokémon,45,20,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,270,170,800000,0.5,115,39,45,25,20,normal,fairy,5.5,1,0
Wigglytuff,24.6,Pukurinプクリン,Balloon Pokémon,70,45,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,435,50,800000,1.0,140,40,85,50,45,normal,fairy,12.0,1,0
Zubat,50,Zubatズバット,Bat Pokémon,0.00,0.00,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,245,255,1000000,0.8,40,41,30,40,55,poison,flying,7.5,1,0
Golbat,50,Golbatゴルバット,Bat Pokémon,0.00,0.00,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,455,90,1000000,1.6,75,42,65,75,90,poison,flying,55.0,1,0
Oddish,50,Nazonokusaナゾノクサ,Weed Pokémon,50,55,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,320,255,1059860,0.5,45,43,75,65,30,grass,poison,5.4,1,0
Gloom,50,Kusaihanaクサイハナ,Weed Pokémon,65,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,395,120,1059860,0.8,60,44,85,75,40,grass,poison,8.6,1,0
Vileplume,50,Ruffresiaラフレシア,Flower Pokémon,80,85,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,1059860,1.2,75,45,110,90,50,grass,poison,18.6,1,0
Paras,50,Parasパラス,Mushroom Pokémon,70,55,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,285,190,1000000,0.3,35,46,45,55,25,bug,grass,5.4,1,0
Parasect,50,Parasectパラセクト,Mushroom Pokémon,95,80,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,405,75,1000000,1.0,60,47,60,80,30,bug,grass,29.5,1,0
Venonat,50,Kongpangコンパン,Insect Pokémon,55,50,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,305,190,1000000,1.0,60,48,40,55,45,bug,poison,30.0,1,0
Venomoth,50,Morphonモルフォン,Poison Moth Pokémon,65,60,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,450,75,1000000,1.5,70,49,90,75,90,bug,poison,12.5,1,0
Diglett,50,Digdaディグダ,Mole Pokémon,55,30,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,1000000,,10,50,35,45,90,ground,ground,,1,0
Dugtrio,50,Dugtrioダグトリオ,Mole Pokémon,100,60,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,1000000,,35,51,50,70,110,ground,ground,,1,0
Meowth,50,Nyarthニャース,Scratch Cat Pokémon,35,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,1000000,,40,52,50,40,90,normal,dark,,1,0
Persian,50,Persianペルシアン,Classy Cat Pokémon,60,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,1000000,,65,53,75,65,115,normal,dark,,1,0
Psyduck,50,Koduckコダック,Duck Pokémon,52,48,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,190,1000000,0.8,50,54,65,50,55,water,,19.6,1,0
Golduck,50,Golduckゴルダック,Duck Pokémon,82,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,75,1000000,1.7,80,55,95,80,85,water,,76.6,1,0
Mankey,50,Mankeyマンキー,Pig Monkey Pokémon,80,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,190,1000000,0.5,40,56,35,45,70,fighting,,28.0,1,0
Primeape,50,Okorizaruオコリザル,Pig Monkey Pokémon,105,60,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,455,75,1000000,1.0,65,57,60,70,95,fighting,,32.0,1,0
Growlithe,75.4,Gardieガーディ,Puppy Pokémon,70,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,350,190,1250000,0.7,55,58,70,50,60,fire,,19.0,1,0
Arcanine,75.4,Windieウインディ,Legendary Pokémon,110,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,555,75,1250000,1.9,90,59,100,80,95,fire,,155.0,1,0
Poliwag,50,Nyoromoニョロモ,Tadpole Pokémon,50,40,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,255,1059860,0.6,40,60,40,40,90,water,,12.4,1,0
Poliwhirl,50,Nyorozoニョロゾ,Tadpole Pokémon,65,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,385,120,1059860,1.0,65,61,50,50,90,water,,20.0,1,0
Poliwrath,50,Nyorobonニョロボン,Tadpole Pokémon,95,95,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,5120,70,510,45,1059860,1.3,90,62,70,90,70,water,fighting,54.0,1,0
Abra,75.4,Caseyケーシィ,Psi Pokémon,20,15,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,310,200,1059860,0.9,25,63,105,55,90,psychic,,19.5,1,0
Kadabra,75.4,Yungererユンゲラー,Psi Pokémon,35,30,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,400,100,1059860,1.3,40,64,120,70,105,psychic,,56.5,1,0
Alakazam,75.4,Foodinフーディン,Psi Pokémon,50,65,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,600,50,1059860,1.5,55,65,175,105,150,psychic,,48.0,1,0
Machop,75.4,Wanrikyワンリキー,Superpower Pokémon,80,50,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,180,1059860,0.8,70,66,35,35,35,fighting,,19.5,1,0
Machoke,75.4,Gorikyゴーリキー,Superpower Pokémon,100,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,405,90,1059860,1.5,80,67,50,60,45,fighting,,70.5,1,0
Machamp,75.4,Kairikyカイリキー,Superpower Pokémon,130,80,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,505,45,1059860,1.6,90,68,65,85,55,fighting,,130.0,1,0
Bellsprout,50,Madatsubomiマダツボミ,Flower Pokémon,75,35,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,300,255,1059860,0.7,50,69,70,30,40,grass,poison,4.0,1,0
Weepinbell,50,Utsudonウツドン,Flycatcher Pokémon,90,50,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,390,120,1059860,1.0,65,70,85,45,55,grass,poison,6.4,1,0
Victreebel,50,Utsubotウツボット,Flycatcher Pokémon,105,65,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,1059860,1.7,80,71,100,70,70,grass,poison,15.5,1,0
Tentacool,50,Menokurageメノクラゲ,Jellyfish Pokémon,40,35,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,335,190,1250000,0.9,40,72,50,100,70,water,poison,45.5,1,0
Tentacruel,50,Dokukurageドククラゲ,Jellyfish Pokémon,70,65,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,515,60,1250000,1.6,80,73,80,120,100,water,poison,55.0,1,0
Geodude,50,Isitsubuteイシツブテ,Rock Pokémon,80,100,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,300,255,1059860,,40,74,30,30,20,rock,ground,,1,0
Graveler,50,Goloneゴローン,Rock Pokémon,95,115,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,390,120,1059860,,55,75,45,45,35,rock,ground,,1,0
Golem,50,Golonyaゴローニャ,Megaton Pokémon,120,130,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,495,45,1059860,,80,76,55,65,45,rock,ground,,1,0
Ponyta,50,Ponytaポニータ,Fire Horse Pokémon,85,55,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,410,190,1000000,1.0,50,77,65,65,90,fire,,30.0,1,0
Rapidash,50,Gallopギャロップ,Fire Horse Pokémon,100,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,500,60,1000000,1.7,65,78,80,80,105,fire,,95.0,1,0
Slowpoke,50,Yadonヤドン,Dopey Pokémon,65,65,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,315,190,1000000,1.2,90,79,40,40,15,water,psychic,36.0,1,0
Slowbro,50,Yadoranヤドラン,Hermit Crab Pokémon,75,180,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,590,75,1000000,1.6,95,80,130,80,30,water,psychic,78.5,1,0
Magnemite,,Coilコイル,Magnet Pokémon,35,70,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,325,190,1000000,0.3,25,81,95,55,45,electric,steel,6.0,1,0
Magneton,,Rarecoilレアコイル,Magnet Pokémon,60,95,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,465,60,1000000,1.0,50,82,120,70,70,electric,steel,60.0,1,0
Farfetch'd,50,Kamonegiカモネギ,Wild Duck Pokémon,90,55,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,377,45,1000000,0.8,52,83,58,62,60,normal,flying,15.0,1,0
Doduo,50,Dodoドードー,Twin Bird Pokémon,85,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,310,190,1000000,1.4,35,84,35,35,75,normal,flying,39.2,1,0
Dodrio,50,Dodorioドードリオ,Triple Bird Pokémon,110,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,470,45,1000000,1.8,60,85,60,60,110,normal,flying,85.2,1,0
Seel,50,Pawouパウワウ,Sea Lion Pokémon,45,55,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,190,1000000,1.1,65,86,45,70,45,water,,90.0,1,0
Dewgong,50,Jugonジュゴン,Sea Lion Pokémon,70,80,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,475,75,1000000,1.7,90,87,70,95,70,water,ice,120.0,1,0
Grimer,50,Betbeterベトベター,Sludge Pokémon,80,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,325,190,1000000,,80,88,40,50,25,poison,poison,,1,0
Muk,50,Betbetonベトベトン,Sludge Pokémon,105,75,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,500,75,1000000,,105,89,65,100,50,poison,poison,,1,0
Shellder,50,Shellderシェルダー,Bivalve Pokémon,65,100,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,305,190,1250000,0.3,30,90,45,25,40,water,,4.0,1,0
Cloyster,50,Parshenパルシェン,Bivalve Pokémon,95,180,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,525,60,1250000,1.5,50,91,85,45,70,water,ice,132.5,1,0
Gastly,50,Ghosゴース,Gas Pokémon,0.00,0.00,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,310,190,1059860,1.3,30,92,100,35,80,ghost,poison,0.1,1,0
Haunter,50,Ghostゴースト,Gas Pokémon,0.00,0.00,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,405,90,1059860,1.6,45,93,115,55,95,ghost,poison,0.1,1,0
Gengar,50,Gangarゲンガー,Shadow Pokémon,0.00,0.00,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,600,45,1059860,1.5,60,94,170,95,130,ghost,poison,40.5,1,0
Onix,50,Iwarkイワーク,Rock Snake Pokémon,45,160,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,70,385,45,1000000,8.8,35,95,30,45,70,rock,ground,210.0,1,0
Drowzee,50,Sleepeスリープ,Hypnosis Pokémon,48,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,328,190,1000000,1.0,60,96,43,90,42,psychic,,32.4,1,0
Hypno,50,Sleeperスリーパー,Hypnosis Pokémon,73,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,483,75,1000000,1.6,85,97,73,115,67,psychic,,75.6,1,0
Krabby,50,Crabクラブ,River Crab Pokémon,105,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,225,1000000,0.4,30,98,25,25,50,water,,6.5,1,0
Kingler,50,Kinglerキングラー,Pincer Pokémon,130,115,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,475,60,1000000,1.3,55,99,50,50,75,water,,60.0,1,0
Voltorb,,Biriridamaビリリダマ,Ball Pokémon,30,50,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,330,190,1000000,0.5,40,100,55,55,100,electric,,10.4,1,0
Electrode,,Marumineマルマイン,Ball Pokémon,50,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,490,60,1000000,1.2,60,101,80,80,150,electric,,66.6,1,0
Exeggcute,50,Tamatamaタマタマ,Egg Pokémon,40,80,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,325,90,1250000,0.4,60,102,60,45,40,grass,psychic,2.5,1,0
Exeggutor,50,Nassyナッシー,Coconut Pokémon,105,85,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,530,45,1250000,,95,103,125,75,45,grass,psychic,,1,0
Cubone,50,Karakaraカラカラ,Lonely Pokémon,50,95,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,320,190,1000000,0.4,50,104,40,50,35,ground,,6.5,1,0
Marowak,50,Garagaraガラガラ,Bone Keeper Pokémon,80,110,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,75,1000000,,60,105,50,80,45,ground,fire,,1,0
Hitmonlee,100,Sawamularサワムラー,Kicking Pokémon,120,53,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,1000000,1.5,50,106,35,110,87,fighting,,49.8,1,0
Hitmonchan,100,Ebiwalarエビワラー,Punching Pokémon,105,79,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,1000000,1.4,50,107,35,110,76,fighting,,50.2,1,0
Lickitung,50,Beroringaベロリンガ,Licking Pokémon,55,75,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,385,45,1000000,1.2,90,108,60,75,30,normal,,65.5,1,0
Koffing,50,Dogarsドガース,Poison Gas Pokémon,65,95,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,340,190,1000000,0.6,40,109,60,45,35,poison,,1.0,1,0
Weezing,50,Matadogasマタドガス,Poison Gas Pokémon,90,120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,490,60,1000000,1.2,65,110,85,70,60,poison,,9.5,1,0
Rhyhorn,50,Sihornサイホーン,Spikes Pokémon,85,95,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,345,120,1250000,1.0,80,111,30,30,25,ground,rock,115.0,1,0
Rhydon,50,Sidonサイドン,Drill Pokémon,130,120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,485,60,1250000,1.9,105,112,45,45,40,ground,rock,120.0,1,0
Chansey,0,Luckyラッキー,Egg Pokémon,5,5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,140,450,30,800000,1.1,250,113,35,105,50,normal,,34.6,1,0
Tangela,50,Monjaraモンジャラ,Vine Pokémon,55,115,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,435,45,1000000,1.0,65,114,100,40,60,grass,,35.0,1,0
Kangaskhan,0,Garuraガルーラ,Parent Pokémon,125,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,590,45,1000000,2.2,105,115,60,100,100,normal,,80.0,1,0
Horsea,50,Tattuタッツー,Dragon Pokémon,40,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,295,225,1000000,0.4,30,116,70,25,60,water,,8.0,1,0
